cohort_id,as_of_date,rank,symbol,isin,avg_daily_value_60d,sessions_traded,selection_reason
liquid-2026-08-11,2026-08-11,1,HDFCBANK,INE040A01034,27153400661.62,60,"top 500 by mean daily traded value over 60 sessions ending 2026-08-11; EQ series, traded every session"
liquid-2026-08-11,2026-08-11,2,ICICIBANK,INE090A01021,19796082131.63,60,"top 500 by mean daily traded value over 60 sessions ending 2026-08-11; EQ series, traded every session"
liquid-2026-08-11,2026-08-11,3,RELIANCE,INE002A01018,18796663909.44,60,"top 500 by mean daily traded value over 60 sessions ending 2026-08-11; EQ series, traded every session"
liquid-2026-08-11,2026-08-11,4,INFY,INE009A01021,16878220661.14,60,"top 500 by mean daily traded value over 60 sessions ending 2026-08-11; EQ series, traded every session"
liquid-2026-08-11,2026-08-11,5,BHARTIARTL,INE397D01024,13925492693.38,60,"top 500 by mean daily traded value over 60 sessions ending 2026-08-11; EQ series, traded every session"
liquid-2026-08-11,2026-08-11,6,BSE,INE118H01025,13679770605.65,60,"top 500 by mean daily traded value over 60 sessions ending 2026-08-11; EQ series, traded every session"
liquid-2026-08-11,2026-08-11,7,SBIN,INE062A01020,12639221272.26,60,"top 500 by mean daily traded value over 60 sessions ending 2026-08-11; EQ series, traded every session"
liquid-2026-08-11,2026-08-11,8,KALYANKJIL,INE303R01014,11652273464.26,60,"top 500 by mean daily traded value over 60 sessions ending 2026-08-11; EQ series, traded every session"
liquid-2026-08-11,2026-08-11,9,TCS,INE467B01029,11286562798.10,60,"top 500 by mean daily traded value over 60 sessions ending 2026-08-11; EQ series, traded every session"
liquid-2026-08-11,2026-08-11,10,BAJFINANCE,INE296A01032,10003076647.98,60,"top 500 by mean daily traded value over 60 sessions ending 2026-08-11; EQ series, traded every session"
liquid-2026-08-11,2026-08-11,11,AXISBANK,INE238A01034,9231816210.16,60,"top 500 by mean daily traded value over 60 sessions ending 2026-08-11; EQ series, traded every session"
liquid-2026-08-11,2026-08-11,12,M&M,INE101A01026,9155181758.97,60,"top 500 by mean daily traded value over 60 sessions ending 2026-08-11; EQ series, traded every session"
