cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2025-03-31,2025-03-31,INE118H01025,BSE,BSE Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (16611321580 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE758T01015,ZOMATO,ETERNAL LIMITED,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (15799033141 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE002A01018,RELIANCE,Reliance Industries Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (15580671515 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE009A01021,INFY,Infosys Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (11970253339 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE296A01024,BAJFINANCE,Bajaj Finance Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (10810979860 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE397D01024,BHARTIARTL,Bharti Airtel Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (9830800274 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE155A01022,TATAMOTORS,Tata Motors Passenger Vehicles Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (9654390231 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE467B01029,TCS,Tata Consultancy Services Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (9569151860 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE303R01014,KALYANKJIL,Kalyan Jewellers India Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (9541737996 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE101A01026,M&M,Mahindra & Mahindra Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (9358983447 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE249Z01020,MAZDOCK,Mazagon Dock Shipbuilders Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (8822181234 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE066F01020,HAL,Hindustan Aeronautics Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (7720715637 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE018A01030,LT,Larsen & Toubro Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (7293801417 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE849A01020,TRENT,Trent Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (7177624493 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE154A01025,ITC,ITC Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (6404865766 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE935N01020,DIXON,Dixon Technologies (India) Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (6142810487 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE758E01017,JIOFIN,Jio Financial Services Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (6139245014 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE263A01024,BEL,Bharat Electronics Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (5957788367 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE860A01027,HCLTECH,HCL Technologies Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (5359427268 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE736A01011,CDSL,Central Depository Services (India) Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (5351804157 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE00H001014,SWIGGY,Swiggy Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (5156267882 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE982J01020,PAYTM,One 97 Communications Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (5124176572 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE371P01015,AMBER,Amber Enterprises India Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (5003200117 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE585B01010,MARUTI,Maruti Suzuki India Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (4920292376 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE591G01017,COFORGE,Coforge Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (4877303714 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
liquid-2025-03-31,2025-03-31,INE0HLU01028,MOBIKWIK,One Mobikwik Systems Limited,,traded EQ every one of 60 sessions to 2025-03-31; rank by mean daily traded value (4835137202 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/MAR/cm31MAR2025bhav.csv.zip,
