cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2025-06-30,2025-06-30,INE118H01025,BSE,BSE Limited,,traded EQ every one of 60 sessions to 2025-06-30; rank by mean daily traded value (22321147355 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/JUN/cm30JUN2025bhav.csv.zip,
liquid-2025-06-30,2025-06-30,INE002A01018,RELIANCE,Reliance Industries Limited,,traded EQ every one of 60 sessions to 2025-06-30; rank by mean daily traded value (17028881957 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/JUN/cm30JUN2025bhav.csv.zip,
liquid-2025-06-30,2025-06-30,INE249Z01020,MAZDOCK,Mazagon Dock Shipbuilders Limited,,traded EQ every one of 60 sessions to 2025-06-30; rank by mean daily traded value (15372706327 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/JUN/cm30JUN2025bhav.csv.zip,
liquid-2025-06-30,2025-06-30,INE397D01024,BHARTIARTL,Bharti Airtel Limited,,traded EQ every one of 60 sessions to 2025-06-30; rank by mean daily traded value (15057414757 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/JUN/cm30JUN2025bhav.csv.zip,
liquid-2025-06-30,2025-06-30,INE758T01015,ETERNAL,ETERNAL LIMITED,,traded EQ every one of 60 sessions to 2025-06-30; rank by mean daily traded value (12908834347 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/JUN/cm30JUN2025bhav.csv.zip,
liquid-2025-06-30,2025-06-30,INE009A01021,INFY,Infosys Limited,,traded EQ every one of 60 sessions to 2025-06-30; rank by mean daily traded value (12326154283 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/JUN/cm30JUN2025bhav.csv.zip,
liquid-2025-06-30,2025-06-30,INE704P01025,COCHINSHIP,Cochin Shipyard Limited,,traded EQ every one of 60 sessions to 2025-06-30; rank by mean daily traded value (11705128042 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/JUN/cm30JUN2025bhav.csv.zip,
liquid-2025-06-30,2025-06-30,INE066F01020,HAL,Hindustan Aeronautics Limited,,traded EQ every one of 60 sessions to 2025-06-30; rank by mean daily traded value (11375077686 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/JUN/cm30JUN2025bhav.csv.zip,
liquid-2025-06-30,2025-06-30,INE382Z01011,GRSE,Garden Reach Shipbuilders & Engineers Limited,,traded EQ every one of 60 sessions to 2025-06-30; rank by mean daily traded value (10887875612 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/JUN/cm30JUN2025bhav.csv.zip,
liquid-2025-06-30,2025-06-30,INE263A01024,BEL,Bharat Electronics Limited,,traded EQ every one of 60 sessions to 2025-06-30; rank by mean daily traded value (10737311788 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/JUN/cm30JUN2025bhav.csv.zip,
liquid-2025-06-30,2025-06-30,INE155A01022,TATAMOTORS,Tata Motors Passenger Vehicles Limited,,traded EQ every one of 60 sessions to 2025-06-30; rank by mean daily traded value (10580857982 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2025/JUN/cm30JUN2025bhav.csv.zip,
