cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
liquid-2026-03-31,2026-03-31,INE002A01018,RELIANCE,Reliance Industries Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (21348414772 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE531E01026,HINDCOPPER,Hindustan Copper Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (16792915945 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE009A01021,INFY,Infosys Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (16673593699 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE397D01024,BHARTIARTL,Bharti Airtel Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (15386668141 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE758T01015,ETERNAL,ETERNAL LIMITED,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (14194164718 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE118H01025,BSE,BSE Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (13469531445 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE018A01030,LT,Larsen & Toubro Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (11765674181 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE205A01025,VEDL,Vedanta Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (11473827245 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE467B01029,TCS,Tata Consultancy Services Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (10730269968 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE154A01025,ITC,ITC Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (10224014979 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE101A01026,M&M,Mahindra & Mahindra Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (9688661665 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE263A01024,BEL,Bharat Electronics Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (8920551682 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE267A01025,HINDZINC,Hindustan Zinc Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (8617583687 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE296A01032,BAJFINANCE,Bajaj Finance Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (8456456986 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE935N01020,DIXON,Dixon Technologies (India) Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (8068323221 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE0NT901020,NETWEB,Netweb Technologies India Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (7413819146 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE669E01016,IDEA,Vodafone Idea Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (7225339540 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE721A01047,SHRIRAMFIN,Shriram Finance Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (7080369680 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE585B01010,MARUTI,Maruti Suzuki India Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (6850635119 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE066F01020,HAL,Hindustan Aeronautics Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (6790516127 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE081A01020,TATASTEEL,Tata Steel Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (6645492518 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
liquid-2026-03-31,2026-03-31,INE139A01034,NATIONALUM,National Aluminium Company Limited,,traded EQ every one of 60 sessions to 2026-03-31; rank by mean daily traded value (6562030349 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2026/MAR/cm31MAR2026bhav.csv.zip,
