issuer_prefix,bank_flag,symbol,company_name,first_seen_window
IN0000000,N,KSHITIJPOL,Kshitij Polyline Limited,2023-05-02..2023-08-30
IN8376C01,N,CLCIND,CLC Industries Limited,2024-04-29..2024-08-27
IN9155A01,N,TATAMTRDVR,Tata Motors Limited,2023-01-01..2023-05-01
IN9175A01,N,JISLDVREQS,Jain Irrigation Systems Limited,2023-01-01..2023-05-01
INE000801,N,ARENTERP,Rajdarshan Industries Limited,2023-01-01..2023-05-01
INE001A01,F,HDFC,Housing Development Finance Corporation Limited,2023-01-01..2023-05-01
INE001B01,N,KRBL,KRBL Limited,2023-01-01..2023-05-01
INE002A01,N,RELIANCE,Reliance Industries Limited,2023-01-01..2023-05-01
INE002L01,N,SJVN,SJVN Limited,2023-01-01..2023-05-01
INE002S01,N,MGL,Mahanagar Gas Limited,2023-01-01..2023-05-01
INE003A01,N,SIEMENS,Siemens Limited,2023-01-01..2023-05-01
INE004I01,N,ABHISHEK,Abhishek Corporation Limited,2023-01-01..2023-05-01
INE005B01,N,AVANTEL,Avantel Limited,2024-08-28..2024-12-26
INE005I01,N,AMDIND,AMD Industries Limited,2023-01-01..2023-05-01
INE006I01,N,ASTRAL,Astral Limited,2023-01-01..2023-05-01
INE006Z01,N,ARVEE,Arvee Laboratories (India) Limited,2023-05-02..2023-08-30
INE007A01,N,CRISIL,Crisil Limited,2023-01-01..2023-05-01
INE007B01,F,GEOJITFSL,Geojit Financial Services Limited,2023-01-01..2023-05-01
INE007N01,F,FEDFINA,Fedbank Financial Services Limited,2023-08-31..2023-12-29
INE008A01,B,IDBI,IDBI Bank Limited,2023-01-01..2023-05-01
INE008Z01,N,SRPL,Shree Ram Proteins Limited,2023-01-01..2023-05-01
INE009A01,N,INFY,Infosys Limited,2023-01-01..2023-05-01
INE00CA01,N,TREJHARA,TREJHARA SOLUTIONS LIMITED,2023-05-02..2023-08-30
INE00CE01,N,SVLL,Shree Vasu Logistics Limited,2023-05-02..2023-08-30
INE00E101,N,BIKAJI,Bikaji Foods International Limited,2023-01-01..2023-05-01
INE00EM01,N,MEGASTAR,Megastar Foods Limited,2023-01-01..2023-05-01
INE00EV01,N,HARIOMPIPE,Hariom Pipe Industries Limited,2023-01-01..2023-05-01
INE00F201,F,PRUDENT,Prudent Corporate Advisory Services Limited,2023-01-01..2023-05-01
INE00FF01,N,ACUTAAS,Acutaas Chemicals Limited,2023-01-01..2023-05-01
INE00H001,N,SWIGGY,Swiggy Limited,2024-08-28..2024-12-26
INE00IK01,N,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,2023-05-02..2023-08-30
INE00IN01,N,STOVEKRAFT,Stove Kraft Limited,2023-01-01..2023-05-01
INE00KV01,N,RAJMET,Rajnandini Metal Limited,2023-01-01..2023-05-01
INE00LM01,N,SONAMLTD,SONAM LIMITED,2023-01-01..2023-05-01
INE00LO01,N,CRAFTSMAN,Craftsman Automation Limited,2023-01-01..2023-05-01
INE00M201,N,SWSOLAR,Sterling and Wilson Renewable Energy Limited,2023-01-01..2023-05-01
INE00M901,N,INTERARCH,Interarch Building Solutions Limited,2024-08-28..2024-12-26
INE00OQ01,N,DHARMAJ,Dharmaj Crop Guard Limited,2023-01-01..2023-05-01
INE00PV01,N,AHLADA,Ahlada Engineers Limited,2023-01-01..2023-05-01
INE00QT01,N,SGIL,Synergy Green Industries Limited,2023-01-01..2023-05-01
INE00R701,N,DALBHARAT,Dalmia Bharat Limited,2023-01-01..2023-05-01
INE00S901,N,NILASPACES,Nila Spaces Limited,2023-01-01..2023-05-01
INE00SZ01,N,MARSHALL,Marshall Machines Limited,2023-01-01..2023-05-01
INE00U401,N,UNIECOM,Unicommerce Esolutions Limited,2024-08-28..2024-12-26
INE00VM01,N,MANORAMA,Manorama Industries Limited,2023-01-01..2023-05-01
INE00WC01,N,AFFLE,Affle 3i Limited,2023-01-01..2023-05-01
INE00Y201,N,FLAIR,Flair Writing Industries Limited,2023-08-31..2023-12-29
INE00Y801,N,AKG,Akg Exim Limited,2023-01-01..2023-05-01
INE00YB01,N,ABINFRA,A B Infrabuild Limited,2024-08-28..2024-12-26
INE00Z501,N,KRITIKA,Kritika Wires Limited,2023-01-01..2023-05-01
INE00ZE01,N,AFSL,Abans Financial Services Limited,2023-01-01..2023-05-01
INE010601,N,ENTERO,Entero Healthcare Solutions Limited,2023-12-30..2024-04-28
INE010A01,N,PRSMJOHNSN,Prism Johnson Limited,2023-01-01..2023-05-01
INE010B01,N,ZYDUSLIFE,Zydus Lifesciences Limited,2023-01-01..2023-05-01
INE010J01,N,TEJASNET,Tejas Networks Limited,2023-01-01..2023-05-01
INE010V01,N,LTTS,L&T Technology Services Limited,2023-01-01..2023-05-01
INE011E01,N,BALUFORGE,Balu Forge Industries Limited,2024-04-29..2024-08-27
INE011K01,N,TEGA,Tega Industries Limited,2023-01-01..2023-05-01
INE012A01,N,ACC,ACC Limited,2023-01-01..2023-05-01
INE013A01,F,RELCAPITAL,Reliance Capital Limited,2023-01-01..2023-05-01
INE013P01,N,ONESOURCE,Onesource Specialty Pharma Limited,2024-12-27..2025-02-28
INE015D01,N,MANAKSIA,Manaksia Limited,2023-01-01..2023-05-01
INE016A01,N,DABUR,Dabur India Limited,2023-01-01..2023-05-01
INE016M01,N,DNAMEDIA,Diligent Media Corporation Limited,2023-01-01..2023-05-01
INE017A01,N,GESHIP,The Great Eastern Shipping Company Limited,2023-01-01..2023-05-01
INE017W01,N,SMLT,Sarthak Metals Limited,2023-01-01..2023-05-01
INE018401,N,SUVIDHAA,Suvidhaa Infoserve Limited,2023-01-01..2023-05-01
INE018A01,N,LT,Larsen & Toubro Limited,2023-01-01..2023-05-01
INE018E01,F,SBICARD,SBI Cards and Payment Services Limited,2023-01-01..2023-05-01
INE019A01,N,JSWSTEEL,JSW Steel Limited,2023-01-01..2023-05-01
INE019C01,N,HSCL,Himadri Speciality Chemical Limited,2023-01-01..2023-05-01
INE019J01,F,HEALTHX,Health X Platform Limited,2023-01-01..2023-05-01
INE01A001,N,STANLEY,Stanley Lifestyles Limited,2024-04-29..2024-08-27
INE01BK01,N,AWHCL,Antony Waste Handling Cell Limited,2023-01-01..2023-05-01
INE01C001,N,AARTECH,Aartech Solonics Limited,2023-05-02..2023-08-30
INE01EA01,N,VMM,Vishal Mega Mart Limited,2024-12-27..2025-02-28
INE01EE01,N,BBTCL,B&B Triplewall Containers Limited,2023-01-01..2023-05-01
INE01EG01,N,RITCO,Ritco Logistics Limited,2023-01-01..2023-05-01
INE01FR01,N,STYLEBAAZA,Baazar Style Retail Limited,2024-08-28..2024-12-26
INE01GN01,N,IRISDOREME,Iris Clothings Limited,2023-01-01..2023-05-01
INE01II01,N,SILGO,Silgo Retail Limited,2023-01-01..2023-05-01
INE01IU01,N,SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,2023-01-01..2023-05-01
INE01JE01,N,MARINE,Marine Electricals (India) Limited,2023-01-01..2023-05-01
INE01KI01,N,VINNY,Vinny Overseas Limited,2023-01-01..2023-05-01
INE01NE01,N,SRD,Shankar Lal Rampal Dye-Chem Limited,2024-08-28..2024-12-26
INE01P501,N,XELPMOC,Xelpmoc Design And Tech Limited,2023-01-01..2023-05-01
INE01QM01,N,EMUDHRA,eMudhra Limited,2023-01-01..2023-05-01
INE020801,N,SPENCERS,Spencer's Retail Limited,2023-01-01..2023-05-01
INE020B01,F,RECLTD,REC Limited,2023-01-01..2023-05-01
INE020D01,F,BAIDFIN,Baid Finserv Limited,2023-01-01..2023-05-01
INE020G01,N,INSPIRISYS,Inspirisys Solutions Limited,2023-01-01..2023-05-01
INE020J01,N,GOKUL,Gokul Refoils and Solvent Limited,2023-01-01..2023-05-01
INE021A01,N,ASIANPAINT,Asian Paints Limited,2023-01-01..2023-05-01
INE021O01,N,DODLA,Dodla Dairy Limited,2023-01-01..2023-05-01
INE022C01,N,EUROTEXIND,Eurotex Industries and Exports Limited,2023-01-01..2023-05-01
INE022I01,N,ASIANTILES,Asian Granito India Limited,2023-01-01..2023-05-01
INE022Q01,N,IEX,Indian Energy Exchange Limited,2023-01-01..2023-05-01
INE023A01,F,NSIL,Nalwa Sons Investments Limited,2023-05-02..2023-08-30
INE023H01,N,NECLIFE,Nectar Lifesciences Limited,2023-01-01..2023-05-01
INE023M01,N,SETUINFRA,Setubandhan Infrastructure Limited,2023-12-30..2024-04-28
INE024001,N,AEROFLEX,Aeroflex Industries Limited,2023-08-31..2023-12-29
INE024L01,N,GRAVITA,Gravita India Limited,2023-01-01..2023-05-01
INE025A01,N,CONSOFINVT,Consolidated Finvest & Holdings Limited,2023-01-01..2023-05-01
INE025B01,N,GOLDIAM,Goldiam International Limited,2023-01-01..2023-05-01
INE025I01,N,INDUSFILA,Indus Fila Limited,2024-12-27..2025-02-28
INE025R01,N,ARTEMISMED,Artemis Medicare Services Limited,2023-01-01..2023-05-01
INE026A01,N,GSFC,Gujarat State Fertilizers & Chemicals Limited,2023-01-01..2023-05-01
INE026B01,N,JIKIND,JIK Industries Limited,2023-01-01..2023-05-01
INE027A01,N,RCF,Rashtriya Chemicals and Fertilizers Limited,2023-01-01..2023-05-01
INE027H01,N,MAXHEALTH,Max Healthcare Institute Limited,2023-01-01..2023-05-01
INE028A01,B,BANKBARODA,Bank of Baroda,2023-01-01..2023-05-01
INE028B01,N,SHARONBIO,Sharon Bio-Medicine Limited,2023-01-01..2023-05-01
INE029A01,N,BPCL,Bharat Petroleum Corporation Limited,2023-01-01..2023-05-01
INE029L01,F,KICL,Kalyani Investment Company Limited,2023-01-01..2023-05-01
INE02A801,N,ROSSARI,Rossari Biotech Limited,2023-01-01..2023-05-01
INE02AR01,N,ANMOL,Anmol India Limited,2023-01-01..2023-05-01
INE02EZ01,N,AXITA,Axita Cotton Limited,2023-01-01..2023-05-01
INE02H701,N,NOVAAGRI,Nova Agritech Limited,2023-12-30..2024-04-28
INE02ID01,N,RAYMONDLSL,Raymond Lifestyle Limited,2024-08-28..2024-12-26
INE02IJ01,N,AZAD,Azad Engineering Limited,2023-12-30..2024-04-28
INE02L001,N,BOROSCI,Borosil Scientific Limited,2024-04-29..2024-08-27
INE02NC01,B,FINOPB,Fino Payments Bank Limited,2023-01-01..2023-05-01
INE02PY01,N,BOROLTD,Borosil Limited,2023-01-01..2023-05-01
INE02RE01,N,FIRSTCRY,Brainbees Solutions Limited,2024-08-28..2024-12-26
INE02WG01,N,WEL,Wonder Electricals Limited,2023-01-01..2023-05-01
INE02YR01,N,EMIL,Electronics Mart India Limited,2023-01-01..2023-05-01
INE030A01,N,HINDUNILVR,Hindustan Unilever Limited,2023-01-01..2023-05-01
INE031A07,F,HUDCO,Housing & Urban Development Corporation Limited,2023-01-01..2023-05-01
INE031B01,N,AJANTPHARM,Ajanta Pharma Limited,2023-01-01..2023-05-01
INE032A01,N,BOMDYEING,Bombay Dyeing & Mfg Company Limited,2023-01-01..2023-05-01
INE032B01,N,PRIMESECU,Prime Securities Limited,2023-01-01..2023-05-01
INE032Z01,N,BSHSL,Bombay Super Hybrid Seeds Limited,2023-01-01..2023-05-01
INE033B01,N,QUINTEGRA,Quintegra Solutions Limited,2023-01-01..2023-05-01
INE034A01,N,ARVIND,Arvind Limited,2023-01-01..2023-05-01
INE034D01,N,PTL,PTL Enterprises Limited,2023-01-01..2023-05-01
INE034S01,N,ARVSMART,Arvind SmartSpaces Limited,2023-01-01..2023-05-01
INE035801,N,AERONEU,Aeroflex Neu Limited,2023-01-01..2023-05-01
INE035D01,N,SOTL,Savita Oil Technologies Limited,2023-01-01..2023-05-01
INE036A01,N,RELINFRA,Reliance Infrastructure Limited,2023-01-01..2023-05-01
INE036B01,N,GAEL,Gujarat Ambuja Exports Limited,2023-01-01..2023-05-01
INE036D01,B,KARURVYSYA,Karur Vysya Bank Limited,2023-01-01..2023-05-01
INE037A01,N,UNIENTER,Uniphos Enterprises Limited,2023-01-01..2023-05-01
INE037Z01,N,CEWATER,Concord Enviro Systems Limited,2024-12-27..2025-02-28
INE038A01,N,HINDALCO,Hindalco Industries Limited,2023-01-01..2023-05-01
INE038F01,N,TVTODAY,TV Today Network Limited,2023-01-01..2023-05-01
INE039A01,F,IFCI,IFCI Limited,2023-05-02..2023-08-30
INE039B01,N,CINEVISTA,Cinevista Limited,2023-01-01..2023-05-01
INE039C01,N,JAMNAAUTO,Jamna Auto Industries Limited,2023-01-01..2023-05-01
INE039O01,N,JASH,Jash Engineering Limited,2023-01-01..2023-05-01
INE03CC01,N,JUBLCPL,Jubilant Agri and Consumer Products Limited,2024-12-27..2025-02-28
INE03DD01,N,RETAIL,JHS Svendgaard Retail Ventures Limited,2024-04-29..2024-08-27
INE03EI01,N,MAXESTATES,Max Estates Limited,2023-08-31..2023-12-29
INE03HW01,N,VLEGOV,VL E-Governance & IT Solutions Limited,2023-05-02..2023-08-30
INE03JI01,N,DGCONTENT,Digicontent Limited,2023-01-01..2023-05-01
INE03Q201,N,ALIVUS,Alivus Life Sciences Limited,2023-01-01..2023-05-01
INE03QK01,N,COHANCE,Cohance Lifesciences Limited,2023-01-01..2023-05-01
INE03RS01,N,DRCSYSTEMS,DRC Systems India Limited,2023-01-01..2023-05-01
INE03V001,N,UNIVPHOTO,Universus Photo Imagings Limited,2023-01-01..2023-05-01
INE03YM01,N,CHEMCON,Chemcon Speciality Chemicals Limited,2023-01-01..2023-05-01
INE040A01,B,HDFCBANK,HDFC Bank Limited,2023-01-01..2023-05-01
INE040D01,N,MAYURUNIQ,Mayur Uniquoters Ltd,2023-01-01..2023-05-01
INE040H01,N,SUZLON,Suzlon Energy Limited,2023-01-01..2023-05-01
INE040M01,N,TREEHOUSE,Tree House Education & Accessories Limited,2023-01-01..2023-05-01
INE041A01,N,DHAMPURSUG,Dhampur Sugar Mills Limited,2023-01-01..2023-05-01
INE042A01,N,ESCORTS,Escorts Kubota Limited,2023-01-01..2023-05-01
INE043A01,N,GTL,GTL Limited,2023-01-01..2023-05-01
INE043C01,N,IVP,IVP Limited,2023-01-01..2023-05-01
INE043D01,F,IDFC,IDFC Limited,2023-01-01..2023-05-01
INE043W01,N,VIJAYA,Vijaya Diagnostic Centre Limited,2023-05-02..2023-08-30
INE044A01,N,SUNPHARMA,Sun Pharmaceutical Industries Limited,2023-01-01..2023-05-01
INE045601,N,PARAS,Paras Defence and Space Technologies Limited,2023-01-01..2023-05-01
INE045A01,N,ADOR,Ador Welding Limited,2023-01-01..2023-05-01
INE045B01,N,NELCO,NELCO Limited,2023-01-01..2023-05-01
INE045J01,N,FCL,Fineotex Chemical Limited,2023-01-01..2023-05-01
INE046A01,N,RIIL,Reliance Industrial Infrastructure Limited,2023-01-01..2023-05-01
INE046W01,N,MUTHOOTMF,Muthoot Microfin Limited,2023-12-30..2024-04-28
INE047A01,N,GRASIM,Grasim Industries Limited,2023-01-01..2023-05-01
INE047B01,N,GILLANDERS,Gillanders Arbuthnot & Company Limited,2023-01-01..2023-05-01
INE047O01,N,NIBL,NRB Industrial Bearings Limited,2023-01-01..2023-05-01
INE048B01,N,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,2023-01-01..2023-05-01
INE048C01,N,VICEROY,Viceroy Hotels Limited,2023-01-01..2023-05-01
INE048G01,N,NAVINFLUOR,Navin Fluorine International Limited,2023-01-01..2023-05-01
INE049A01,N,HIMATSEIDE,Himatsingka Seide Limited,2023-01-01..2023-05-01
INE049B01,N,WOCKPHARMA,Wockhardt Limited,2023-01-01..2023-05-01
INE049I01,F,NAHARCAP,Nahar Capital and Financial Services Limited,2023-01-01..2023-05-01
INE04AK01,N,SBC,SBC Exports Limited,2023-01-01..2023-05-01
INE04I401,N,KPITTECH,KPIT Technologies Limited,2023-01-01..2023-05-01
INE04LG01,N,PAR,Par Drugs and Chemicals Limited,2023-01-01..2023-05-01
INE04TZ01,N,ETHOSLTD,Ethos Limited,2023-01-01..2023-05-01
INE050001,N,PPL,Prakash Pipes Limited,2023-01-01..2023-05-01
INE050401,N,ELIN,Elin Electronics Limited,2023-01-01..2023-05-01
INE050A01,N,BBTC,The Bombay Burmah Trading Corporation Limited,2023-01-01..2023-05-01
INE050B01,F,IVC,IL&FS Investment Managers Limited,2023-01-01..2023-05-01
INE050E01,N,BALAMINES,Balaji Amines Limited,2023-01-01..2023-05-01
INE050H01,N,RML,Rane (Madras) Limited,2023-01-01..2023-05-01
INE050M01,N,VSSL,Vardhman Special Steels Limited,2023-01-01..2023-05-01
INE051B01,N,VAKRANGEE,Vakrangee Limited,2023-01-01..2023-05-01
INE052A01,N,WINDMACHIN,Windsor Machines Limited,2023-01-01..2023-05-01
INE052I01,N,CAMLINFINE,Camlin Fine Sciences Limited,2023-01-01..2023-05-01
INE052T01,N,BESTAGRO,Best Agrolife Limited,2024-04-29..2024-08-27
INE053A01,N,INDHOTEL,The Indian Hotels Company Limited,2023-01-01..2023-05-01
INE053F07,F,IRFC,Indian Railway Finance Corporation Limited,2023-01-01..2023-05-01
INE054301,N,ODIGMA,Odigma Consultancy Solutions Limited,2024-12-27..2025-02-28
INE054A01,N,VIPIND,VIP Industries Limited,2023-01-01..2023-05-01
INE055A01,N,ABREL,Aditya Birla Real Estate Limited,2023-01-01..2023-05-01
INE055C01,N,KEEPLEARN,DSJ Keep Learning Limited,2023-01-01..2023-05-01
INE055S01,N,CYIENTDLM,Cyient DLM Limited,2023-05-02..2023-08-30
INE056C01,N,TATAMETALI,Tata Metaliks Limited,2023-01-01..2023-05-01
INE056I01,N,REFEX,Refex Industries Limited,2023-01-01..2023-05-01
INE058A01,N,SANOFI,Sanofi India Limited,2023-01-01..2023-05-01
INE058B01,N,ZENITHEXPO,Zenith Exports Limited,2023-01-01..2023-05-01
INE059901,N,IEL,Indiabulls Enterprises Limited,2023-01-01..2023-05-01
INE059A01,N,CIPLA,Cipla Limited,2023-01-01..2023-05-01
INE059B01,N,SIMPLEXINF,Simplex Infrastructures Limited,2023-01-01..2023-05-01
INE059D01,N,LAOPALA,La Opala RG Limited,2023-01-01..2023-05-01
INE05AN01,N,HINDWAREAP,Hindware Home Innovation Limited,2023-01-01..2023-05-01
INE05CZ01,N,RATNAVEER,Ratnaveer Precision Engineering Limited,2023-08-31..2023-12-29
INE05ST01,N,SBGLP,Suratwwala Business Group Limited,2023-05-02..2023-08-30
INE05X901,N,HPIL,Hindprakash Industries Limited,2023-01-01..2023-05-01
INE060901,N,LIKHITHA,Likhitha Infrastructure Limited,2023-01-01..2023-05-01
INE060A01,N,NAVNETEDUL,Navneet Education Limited,2023-01-01..2023-05-01
INE060B01,N,KHANDSE,Khandwala Securities Limited,2023-01-01..2023-05-01
INE060J01,N,FLEXITUFF,Flexituff Ventures International Limited,2023-05-02..2023-08-30
INE060X01,N,DEVIT,Dev Information Technology Limited,2023-01-01..2023-05-01
INE061A01,N,INDIANCARD,Indian Card Clothing Company Limited,2023-01-01..2023-05-01
INE061F01,N,FORTIS,Fortis Healthcare Limited,2023-01-01..2023-05-01
INE062A01,B,SBIN,State Bank of India,2023-01-01..2023-05-01
INE062D01,N,ALICON,Alicon Castalloy Limited,2023-01-01..2023-05-01
INE063E01,N,POCL,Pondy Oxides & Chemicals Limited,2023-05-02..2023-08-30
INE063P01,B,EQUITASBNK,Equitas Small Finance Bank Limited,2023-01-01..2023-05-01
INE064C01,N,TRIDENT,Trident Limited,2023-01-01..2023-05-01
INE065B01,N,INDLMETER,IMP Powers Limited,2023-01-01..2023-05-01
INE065D01,N,AEROENTER,Aeroflex Enterprises Limited,2023-01-01..2023-05-01
INE065J01,N,TPHQ,Teamo Productions HQ Limited,2023-01-01..2023-05-01
INE065X01,N,INDGN,Indegene Limited,2024-04-29..2024-08-27
INE066A01,N,EICHERMOT,Eicher Motors Limited,2023-01-01..2023-05-01
INE066F01,N,HAL,Hindustan Aeronautics Limited,2023-01-01..2023-05-01
INE066O01,N,WONDERLA,Wonderla Holidays Limited,2023-01-01..2023-05-01
INE066P01,N,INOXWIND,Inox Wind Limited,2023-01-01..2023-05-01
INE067A01,N,CGPOWER,CG Power and Industrial Solutions Limited,2023-01-01..2023-05-01
INE068L01,N,CANTABIL,Cantabil Retail India Limited,2023-01-01..2023-05-01
INE068V01,N,GLAND,Gland Pharma Limited,2023-01-01..2023-05-01
INE069I01,N,EMBDL,Embassy Developments Limited,2023-01-01..2023-05-01
INE06H201,N,GENSOL,Gensol Engineering Limited,2023-05-02..2023-08-30
INE06HJ01,N,ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,2024-08-28..2024-12-26
INE06IR01,N,OSIAHYPER,Osia Hyper Retail Limited,2023-01-01..2023-05-01
INE070A01,N,SHREECEM,SHREE CEMENT LIMITED,2023-01-01..2023-05-01
INE070C01,N,COMPINFO,Compuage Infocom Limited,2023-01-01..2023-05-01
INE070D01,N,JAICORPLTD,Jai Corp Limited,2023-01-01..2023-05-01
INE070I01,N,INSECTICID,Insecticides (India) Limited,2023-01-01..2023-05-01
INE071A01,N,BILVYAPAR,BIL VYAPAR LIMITED,2023-01-01..2023-05-01
INE071D01,N,MENONBE,Menon Bearings Limited,2023-01-01..2023-05-01
INE071E01,N,UGARSUGAR,The Ugar Sugar Works Limited,2023-01-01..2023-05-01
INE071F01,N,APCL,Anjani Portland Cement Limited,2023-01-01..2023-05-01
INE071N01,N,EPIGRAL,Epigral Limited,2023-01-01..2023-05-01
INE073D01,N,SUNDRMBRAK,Sundaram Brake Linings Limited,2023-01-01..2023-05-01
INE073G01,N,ASALCBR,Associated Alcohols & Breweries Ltd.,2023-01-01..2023-05-01
INE073K01,N,SONACOMS,Sona BLW Precision Forgings Limited,2023-01-01..2023-05-01
INE073V01,N,COMSYN,Commercial Syn Bags Limited,2023-12-30..2024-04-28
INE074A01,N,PRAJIND,Praj Industries Limited,2023-01-01..2023-05-01
INE074B01,N,PARACABLES,Paramount Communications Limited,2023-01-01..2023-05-01
INE075A01,N,WIPRO,Wipro Limited,2023-01-01..2023-05-01
INE075B01,N,SICAL,Sical Logistics Limited,2023-01-01..2023-05-01
INE075D01,N,GMBREW,GM Breweries Limited,2023-01-01..2023-05-01
INE075I01,N,HCG,Healthcare Global Enterprises Limited,2023-01-01..2023-05-01
INE076B01,N,SIYSIL,Siyaram Silk Mills Limited,2023-01-01..2023-05-01
INE076C01,N,IFBAGRO,IFB Agro Industries Limited,2023-01-01..2023-05-01
INE077F01,N,GOCLCORP,GOCL Corporation Limited,2023-01-01..2023-05-01
INE079A01,N,AMBUJACEM,Ambuja Cements Limited,2023-01-01..2023-05-01
INE079J01,N,GATEWAY,Gateway Distriparks Limited,2023-01-01..2023-05-01
INE07K301,N,ZAGGLE,Zaggle Prepaid Ocean Services Limited,2023-08-31..2023-12-29
INE07O001,N,EASEMYTRIP,Easy Trip Planners Limited,2023-01-01..2023-05-01
INE07OG01,N,NDRAUTO,Ndr Auto Components Limited,2023-01-01..2023-05-01
INE07RO01,N,SUPRIYA,Supriya Lifescience Limited,2023-01-01..2023-05-01
INE07S101,N,PAVNAIND,Pavna Industries Limited,2023-05-02..2023-08-30
