cohort_id,as_of_date,isin,nse_symbol,issuer_name,sector,selection_reason,source_url,source_hash
pilot-liquid-2018-12-31,2018-12-31,INE002A01018,RELIANCE,Reliance Industries Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (10762668250 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE148I01020,IBULHSGFIN,Sammaan Capital Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (7478794364 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE585B01010,MARUTI,Maruti Suzuki India Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (6243483684 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE009A01021,INFY,Infosys Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (5608301034 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE467B01029,TCS,Tata Consultancy Services Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (5388497480 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE202B01012,DHFL,Dewan Housing Finance Corporation Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (5066968185 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE081A01012,TATASTEEL,Tata Steel Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (4013351875 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE095A01012,INDUSINDBK,IndusInd Bank Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (3915278647 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE802G01018,JETAIRWAYS,Jet Airways (India) Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (3417638171 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE155A01022,TATAMOTORS,Tata Motors Passenger Vehicles Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (3190231778 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE018A01030,LT,Larsen & Toubro Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (3046026417 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE205A01025,VEDL,Vedanta Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (2909526773 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE154A01025,ITC,ITC Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (2873985215 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE101A01026,M&M,Mahindra & Mahindra Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (2646562102 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE030A01027,HINDUNILVR,Hindustan Unilever Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (2569055380 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE094A01015,HINDPETRO,Hindustan Petroleum Corporation Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (2469349404 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE797F01012,JUBLFOOD,Jubilant Foodworks Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (2447471026 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE029A01011,BPCL,Bharat Petroleum Corporation Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (2372050931 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE066A01013,EICHERMOT,Eicher Motors Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (2338460066 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
pilot-liquid-2018-12-31,2018-12-31,INE208A01029,ASHOKLEY,Ashok Leyland Limited,,traded EQ every one of 60 sessions to 2018-12-31; rank by mean daily traded value (2331475227 INR),https://nsearchives.nseindia.com/content/historical/EQUITIES/2018/DEC/cm31DEC2018bhav.csv.zip,
